Statistical Fairness Simulation Parameters 
Dataset used                             : ./data/processed/bank/bank_1.pkl 
Number of samples                        : 1000 
Num clusters                             : 8 
Delta                                    : 0.2 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 0.88
Statistical fairness                     : 0.98
Uniform assignment                       : 77.28
Percentage decrease (hard vs alg)        : 10.9
Percentage increase (uniform vs alg)     : 7746.6
PercentageViolations                     : 39.07
GroupwiseViolations                      : 38.87
Statistical Bias                         : 0.05
Earthmover Distance                      : 0.03
