Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/bank/bank_1.pkl 
Number of samples                        : 80 
Num clusters                             : 2 
Num nearest neighbours                   : 20 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 1.18
Individual fairness                      : 1.4
Uniform assignment                       : 2.87
Percentage decrease (hard vs alg)        : 15.27
Percentage increase (uniform vs alg)     : 105.52
PercentageViolations                     : 0.0
Statistical Bias                         : 0.15
Earthmover Distance                      : 0.21
