Statistical + Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/bank/bank_1.pkl 
Number of samples                        : 1000 
Num clusters                             : 10 
Num nearest neighbours                   : 250 
Delta                                    : 0.2 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 0.79
Statistical + Individual fairness        : 1.81
Uniform assignment                       : 69.52
Percentage decrease (hard vs alg)        : 56.24
Percentage increase (uniform vs alg)     : 3732.76
GroupwiseViolations                      : 0.0
Statistical Bias                         : 0.01
Earthmover Distance                      : 0.03
