Statistical + Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/adult/adult_1.pkl 
Number of samples                        : 1000 
Num clusters                             : 10 
Num nearest neighbours                   : 250 
Delta                                    : 0.2 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 0.87
Statistical + Individual fairness        : 1.68
Uniform assignment                       : 6.17
Percentage decrease (hard vs alg)        : 48.52
Percentage increase (uniform vs alg)     : 266.77
GroupwiseViolations                      : 0.0
Statistical Bias                         : 0.06
Earthmover Distance                      : 0.11
