Statistical + Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/bank/bank_1.pkl 
Number of samples                        : 1000 
Num clusters                             : 8 
Num nearest neighbours                   : 250 
Delta                                    : 0.2 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 0.88
Statistical + Individual fairness        : 1.92
Uniform assignment                       : 77.28
Percentage decrease (hard vs alg)        : 54.2
Percentage increase (uniform vs alg)     : 3933.98
GroupwiseViolations                      : 0.0
Statistical Bias                         : 0.02
Earthmover Distance                      : 0.03
