Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/bank/bank_1.pkl 
Number of samples                        : 1000 
Num clusters                             : 6 
Num nearest neighbours                   : 166 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 1.02
Individual fairness                      : 1.2
Uniform assignment                       : 98.29
Percentage decrease (hard vs alg)        : 14.72
Percentage increase (uniform vs alg)     : 8119.42
PercentageViolations                     : 0.0
Statistical Bias                         : 0.17
Earthmover Distance                      : 0.03
