Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/bank/bank_1.pkl 
Number of samples                        : 1000 
Num clusters                             : 10 
Num nearest neighbours                   : 250 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 0.79
Individual fairness                      : 1.78
Uniform assignment                       : 69.52
Percentage decrease (hard vs alg)        : 55.42
Percentage increase (uniform vs alg)     : 3804.63
PercentageViolations                     : 0.0
Statistical Bias                         : 0.02
Earthmover Distance                      : 0.03
