Statistical Fairness Simulation Parameters 
Dataset used                             : ./data/processed/adult/adult_1.pkl 
Number of samples                        : 1000 
Num clusters                             : 4 
Delta                                    : 0.2 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 1.21
Statistical fairness                     : 1.28
Uniform assignment                       : 4.61
Percentage decrease (hard vs alg)        : 5.65
Percentage increase (uniform vs alg)     : 259.98
PercentageViolations                     : 44.74
GroupwiseViolations                      : 43.89
Statistical Bias                         : 0.08
Earthmover Distance                      : 0.11
