Statistical + Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/adult/adult_1.pkl 
Number of samples                        : 1000 
Num clusters                             : 8 
Num nearest neighbours                   : 125 
Delta                                    : 0.2 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 0.93
Statistical + Individual fairness        : 1.28
Uniform assignment                       : 5.8
Percentage decrease (hard vs alg)        : 27.8
Percentage increase (uniform vs alg)     : 351.53
GroupwiseViolations                      : 0.0
Statistical Bias                         : 0.06
Earthmover Distance                      : 0.07
