Statistical + Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/adult/adult_1.pkl 
Number of samples                        : 1000 
Num clusters                             : 2 
Num nearest neighbours                   : 500 
Delta                                    : 0.2 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 1.48
Statistical + Individual fairness        : 1.68
Uniform assignment                       : 3.65
Percentage decrease (hard vs alg)        : 11.52
Percentage increase (uniform vs alg)     : 117.74
GroupwiseViolations                      : 0.0
Statistical Bias                         : 0.11
Earthmover Distance                      : 0.22
