Statistical + Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/adult/adult_1.pkl 
Number of samples                        : 1000 
Num clusters                             : 6 
Num nearest neighbours                   : 166 
Delta                                    : 0.2 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 1.03
Statistical + Individual fairness        : 1.37
Uniform assignment                       : 5.89
Percentage decrease (hard vs alg)        : 24.71
Percentage increase (uniform vs alg)     : 330.72
GroupwiseViolations                      : 0.0
Statistical Bias                         : 0.06
Earthmover Distance                      : 0.22
