Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/bank/bank_1.pkl 
Number of samples                        : 1000 
Num clusters                             : 4 
Num nearest neighbours                   : 250 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 1.23
Individual fairness                      : 1.85
Uniform assignment                       : 12.12
Percentage decrease (hard vs alg)        : 33.43
Percentage increase (uniform vs alg)     : 554.42
PercentageViolations                     : 0.0
Statistical Bias                         : 0.02
Earthmover Distance                      : 0.03
