Opt Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/adult/adult_1.pkl 
Number of samples                        : 80 
Num clusters                             : 2 
Num nearest neighbours                   : 40 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 1.57
Opt Individual fairness                  : 1.52
Uniform assignment                       : 4.9
Percentage decrease (hard vs alg)        : -3.41
Percentage increase (uniform vs alg)     : 222.4
PercentageViolations                     : 0.0
Statistical Bias                         : 0.23
Earthmover Distance                      : 0.4
