Soft_KMeans Simulation Parameters 
Dataset used                             : ./data/processed/bank/bank_1.pkl 
Number of clusters                       : 6 
Num samples                              : 1000 
Num nearest neighbours                   : 166 
Soft Clustering Method                   : Negative L2 Distance normalised by softmax 
Euclidean distance metric                : L2 Distance 
Normalise Euc distance?                  : Yes 
Statistical distance metric              : TV Distance 
Normalise Stat distance?                 : No 

Algorithm Cost
Hard K-Means                             : 1.02
Soft K-Means                             : 1.03
Uniform                                  : 98.29
Percentage decrease (hard wrt alg)       : 0.95
Percentage increase (uniform wrt alg)    : 9446.77
PercentageViolations                     : 14.62
