Statistical + Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/adult/adult_1.pkl 
Number of samples                        : 80 
Num clusters                             : 10 
Num nearest neighbours                   : 8 
Delta                                    : 0.2 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 0.79
Statistical + Individual fairness        : 1.25
Uniform assignment                       : 6.33
Percentage decrease (hard vs alg)        : 36.45
Percentage increase (uniform vs alg)     : 406.81
GroupwiseViolations                      : 0.0
Statistical Bias                         : 0.06
Earthmover Distance                      : 0.14
