Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/bank/bank_1.pkl 
Number of samples                        : 80 
Num clusters                             : 10 
Num nearest neighbours                   : 20 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 0.57
Individual fairness                      : 1.24
Uniform assignment                       : 5.42
Percentage decrease (hard vs alg)        : 54.56
Percentage increase (uniform vs alg)     : 335.34
PercentageViolations                     : 0.0
Statistical Bias                         : 0.07
Earthmover Distance                      : 0.21
