Opt Statistical + Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/bank/bank_1.pkl 
Number of samples                        : 80 
Num clusters                             : 2 
Num nearest neighbours                   : 40 
Delta                                    : 0.2 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 1.18
Statistical + Individual fairness        : 1.24
Uniform assignment                       : 2.87
Percentage decrease (hard vs alg)        : 4.65
Percentage increase (uniform vs alg)     : 131.27
GroupwiseViolations                      : 0.0
Statistical Bias                         : 0.05
Earthmover Distance                      : 0.21
