Statistical Fairness Simulation Parameters 
Dataset used                             : ./data/processed/bank/bank_1.pkl 
Number of samples                        : 1000 
Num clusters                             : 4 
Delta                                    : 0.2 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 1.23
Statistical fairness                     : 1.26
Uniform assignment                       : 12.12
Percentage decrease (hard vs alg)        : 1.92
Percentage increase (uniform vs alg)     : 864.22
PercentageViolations                     : 27.61
GroupwiseViolations                      : 27.56
Statistical Bias                         : 0.07
Earthmover Distance                      : 0.02
