Soft_KMeans Simulation Parameters 
Dataset used                             : ./data/processed/adult/adult_1.pkl 
Number of clusters                       : 8 
Num samples                              : 1000 
Num nearest neighbours                   : 250 
Soft Clustering Method                   : Negative L2 Distance normalised by softmax 
Euclidean distance metric                : L2 Distance 
Normalise Euc distance?                  : Yes 
Statistical distance metric              : TV Distance 
Normalise Stat distance?                 : No 

Algorithm Cost
Hard K-Means                             : 0.93
Soft K-Means                             : 0.94
Uniform                                  : 5.8
Percentage decrease (hard wrt alg)       : 1.7
Percentage increase (uniform wrt alg)    : 514.8
PercentageViolations                     : 73.09
