Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/bank/bank_1.pkl 
Number of samples                        : 1000 
Num clusters                             : 10 
Num nearest neighbours                   : 100 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 0.79
Individual fairness                      : 0.98
Uniform assignment                       : 69.52
Percentage decrease (hard vs alg)        : 18.99
Percentage increase (uniform vs alg)     : 6995.36
PercentageViolations                     : 0.0
Statistical Bias                         : 0.17
Earthmover Distance                      : 0.03
