Opt Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/bank/bank_1.pkl 
Number of samples                        : 80 
Num clusters                             : 10 
Num nearest neighbours                   : 8 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 0.57
Opt Individual fairness                  : 0.56
Uniform assignment                       : 5.42
Percentage decrease (hard vs alg)        : -1.6
Percentage increase (uniform vs alg)     : 873.46
PercentageViolations                     : 0.0
Statistical Bias                         : 0.1
Earthmover Distance                      : 0.21
