Statistical + Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/bank/bank_1.pkl 
Number of samples                        : 80 
Num clusters                             : 8 
Num nearest neighbours                   : 10 
Delta                                    : 0.2 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 0.6
Statistical + Individual fairness        : 0.97
Uniform assignment                       : 5.34
Percentage decrease (hard vs alg)        : 38.11
Percentage increase (uniform vs alg)     : 450.78
GroupwiseViolations                      : 0.0
Statistical Bias                         : 0.07
Earthmover Distance                      : 0.15
