Statistical + Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/adult/adult_1.pkl 
Number of samples                        : 80 
Num clusters                             : 2 
Num nearest neighbours                   : 20 
Delta                                    : 0.2 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 1.57
Statistical + Individual fairness        : 1.74
Uniform assignment                       : 4.9
Percentage decrease (hard vs alg)        : 9.56
Percentage increase (uniform vs alg)     : 181.96
GroupwiseViolations                      : 0.0
Statistical Bias                         : 0.01
Earthmover Distance                      : 0.14
