Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/adult/adult_1.pkl 
Number of samples                        : 80 
Num clusters                             : 4 
Num nearest neighbours                   : 20 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 1.23
Individual fairness                      : 1.59
Uniform assignment                       : 4.91
Percentage decrease (hard vs alg)        : 22.74
Percentage increase (uniform vs alg)     : 208.69
PercentageViolations                     : 0.0
Statistical Bias                         : 0.31
Earthmover Distance                      : 0.4
