Statistical + Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/bank/bank_1.pkl 
Number of samples                        : 80 
Num clusters                             : 6 
Num nearest neighbours                   : 20 
Delta                                    : 0.2 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 0.72
Statistical + Individual fairness        : 1.42
Uniform assignment                       : 4.71
Percentage decrease (hard vs alg)        : 49.14
Percentage increase (uniform vs alg)     : 232.22
GroupwiseViolations                      : 0.0
Statistical Bias                         : 0.03
Earthmover Distance                      : 0.21
