Statistical + Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/adult/adult_1.pkl 
Number of samples                        : 1000 
Num clusters                             : 10 
Num nearest neighbours                   : 100 
Delta                                    : 0.2 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 0.87
Statistical + Individual fairness        : 1.25
Uniform assignment                       : 6.17
Percentage decrease (hard vs alg)        : 30.66
Percentage increase (uniform vs alg)     : 394.0
GroupwiseViolations                      : 0.0
Statistical Bias                         : 0.05
Earthmover Distance                      : 0.11
