Statistical + Individual Fairness Simulation Parameters 
Dataset used                             : ./data/processed/adult/adult_1.pkl 
Number of samples                        : 1000 
Num clusters                             : 4 
Num nearest neighbours                   : 250 
Delta                                    : 0.2 
Statistical Distance                     : TV Distance 
Euclidean Distance                       : L2 Distance 
Normalise Stat Distance?                 : No 
Normalise Euc Distance?                  : Yes 

Algorithm Cost
Hard KMeans                              : 1.21
Statistical + Individual fairness        : 1.46
Uniform assignment                       : 4.61
Percentage decrease (hard vs alg)        : 17.01
Percentage increase (uniform vs alg)     : 216.62
GroupwiseViolations                      : 0.0
Statistical Bias                         : 0.07
Earthmover Distance                      : 0.11
